Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1	7.82030523752256	7.87526786949958	8.10885772012654	8.42791726548161	7.63325171878166	8.3014612405785
Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5	4.98818241031602	5.58176818293873	5.11910175162334	5.66509350339437	5.64094611057167	5.65647396878513
Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3	6.90957257561965	7.19000046298273	7.12589091728598	8.26532276076884	7.26626634890896	7.2032171472758
Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1	7.37841651859429	7.30103177537148	7.29204810504089	7.25005600411553	7.61773871941034	7.46786440407789
Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2	8.58403322717991	8.67954339862521	8.51788576990333	8.97159155771213	8.36712802902463	8.4228404793919
Tpr_TRINITY_DN12429_c1_g2|Tdu_TRINITY_DN21784_c3_g2	4.46735024701458	4.47214369176423	4.94577014873778	0.110504651716737	4.60991921495104	4.62790481658836
Tpr_TRINITY_DN14932_c0_g2|Tdu_TRINITY_DN21704_c6_g1	7.92678186565187	7.6079204707947	7.64384672951039	7.40512540060836	7.50420977377993	7.86056557337863
Tpr_TRINITY_DN10290_c1_g5|Tdu_TRINITY_DN23088_c1_g2	5.8264313403194	5.77880502999828	5.32191863462303	4.01739524732525	5.96900030825587	5.19350199244258
Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1	7.6784979111834	7.65884440595737	7.4079895847467	7.73255647117311	7.48723669517621	7.69140775889452
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	3.11371329239988	3.68364779695794	5.06360663903164	5.39590687057898	4.17382010014437	4.3763660495924
Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1	4.46735024701458	4.31167901957099	2.56110629850246	5.94339466588148	5.13075137825248	4.84202962194121
Tpr_TRINITY_DN12172_c2_g9|Tdu_TRINITY_DN13632_c0_g1	6.13361284983758	5.77880502999828	5.4135491100886	5.83842510627994	5.21564027583899	5.26945084567588
Tpr_TRINITY_DN10237_c6_g4|Tdu_TRINITY_DN20791_c2_g4	7.41139384104056	7.50034058359488	7.82163384872567	8.09349822641105	7.76583735839947	7.59137894056325
